/,,填写内容↓,输入方式,输入提示/来源/下拉列表字典来源,专家活动申请表页面,,,,,,,,,,,,,,
（申请信息）→,,申请类别,下拉选择,从右侧项目选择,专家调用,,,积分自提,,,,,,,,,,,
,,积分大类,下拉选择,从右侧项目选择,评估评审,,问题解决,"成果
 贡献",,,,,"知识
 沉淀",,,,"团队
 成长",,
,,积分项目,下拉选择,从右侧项目选择,技术评审,人才评审,技术支持,行业/技术洞察,技术成果推广,人才标准建设,专业论文,知识产权,项目经验沉淀,知识库建设,流程制度建设,课程开发,担任导师,担任讲师,行业/业务交流
申请页,需求方信息,需求人,"①默认带出用户
②搜索选择",e-HR,"显示,必填","显示,必填","显示,必填","显示,必填","显示,必填","显示,必填","显示,必填","显示,必填","显示,必填","显示,必填","显示,必填","显示,必填","显示,必填","显示,必填","显示,必填"
,,需求人部门,系统带出,"e-HR 
截取到2~3级：BG-BU","显示,必填","显示,必填","显示,必填","显示,必填","显示,必填","显示,必填","显示,必填","显示,必填","显示,必填","显示,必填","显示,必填","显示,必填","显示,必填","显示,必填","显示,必填"
,,需求人职位,系统带出,e-HR,"显示,必填","显示,必填","显示,必填","显示,必填","显示,必填","显示,必填","显示,必填","显示,必填","显示,必填","显示,必填","显示,必填","显示,必填","显示,必填","显示,必填","显示,必填"
,,联系方式,系统带出,e-HR,"显示,必填","显示,必填","显示,必填","显示,必填","显示,必填","显示,必填","显示,必填","显示,必填","显示,必填","显示,必填","显示,必填","显示,必填","显示,必填","显示,必填","显示,必填"
,项目基本信息,项目部门,"①带出
②下拉选择","①默认需求人部门
②可改：公司所有部门
下拉2~3级：BG-BU","显示,必填","显示,必填","显示,必填",隐藏,隐藏,隐藏,隐藏,隐藏,"显示,必填",隐藏,隐藏,隐藏,隐藏,隐藏,隐藏
,,项目名称,多选/输入,是否有系统统计？,"显示,必填","显示,必填","显示,必填",隐藏,隐藏,隐藏,隐藏,隐藏,"显示,必填",隐藏,隐藏,隐藏,隐藏,隐藏,隐藏
,,项目级别,下拉选择,"公司所有可选项目级别：
① 公司级/部门级
②x星级","显示,必填","显示,必填","显示,必填",隐藏,隐藏,隐藏,隐藏,隐藏,"显示,必填",隐藏,隐藏,隐藏,隐藏,隐藏,隐藏
